epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,352.717,1.51647,1.35551,1.60773,0.62405,0.49869,0.57464,0.27295,1.78368,1.50426,1.74733,1.0595e-05,1.0595e-05,1.0595e-05
40,361.069,1.5291,1.37978,1.61935,0.67631,0.48303,0.5737,0.26682,1.8015,1.50928,1.7584,1.03475e-05,1.03475e-05,1.03475e-05
41,369.507,1.51398,1.36589,1.60788,0.60701,0.50131,0.56733,0.26557,1.79768,1.51179,1.75826,1.01e-05,1.01e-05,1.01e-05
42,378.021,1.50719,1.34226,1.60271,0.61601,0.50262,0.5685,0.26411,1.80381,1.50716,1.75946,9.8525e-06,9.8525e-06,9.8525e-06
43,386.375,1.51441,1.35838,1.60211,0.61418,0.50291,0.56913,0.26646,1.80287,1.51265,1.75953,9.605e-06,9.605e-06,9.605e-06
44,394.91,1.5097,1.34035,1.59546,0.62906,0.5092,0.58017,0.27074,1.79496,1.49815,1.74955,9.3575e-06,9.3575e-06,9.3575e-06
45,403.42,1.50484,1.33564,1.59688,0.66592,0.48402,0.57139,0.26449,1.8098,1.51017,1.76225,9.11e-06,9.11e-06,9.11e-06
46,411.813,1.50815,1.34481,1.60243,0.65244,0.48042,0.56573,0.2639,1.80162,1.51171,1.75894,8.8625e-06,8.8625e-06,8.8625e-06
47,420.248,1.507,1.33828,1.59753,0.64799,0.49869,0.57522,0.26896,1.79193,1.49833,1.75092,8.615e-06,8.615e-06,8.615e-06
48,428.734,1.50846,1.32651,1.59734,0.63831,0.48843,0.57293,0.26771,1.79797,1.50064,1.7555,8.3675e-06,8.3675e-06,8.3675e-06
49,437.51,1.5085,1.35135,1.60846,0.65488,0.49049,0.57021,0.26467,1.80108,1.50426,1.75693,8.12e-06,8.12e-06,8.12e-06
50,446.159,1.49852,1.32935,1.59758,0.64875,0.48825,0.57558,0.26816,1.79913,1.49793,1.75119,7.8725e-06,7.8725e-06,7.8725e-06
51,454.518,1.50462,1.33654,1.60189,0.62037,0.51697,0.57322,0.26767,1.79713,1.49909,1.75183,7.625e-06,7.625e-06,7.625e-06
52,463.182,1.49159,1.3343,1.59699,0.63793,0.49224,0.56835,0.26627,1.80181,1.50332,1.7575,7.3775e-06,7.3775e-06,7.3775e-06
53,471.801,1.50371,1.34568,1.60057,0.61135,0.50914,0.57242,0.26579,1.8049,1.49856,1.75646,7.13e-06,7.13e-06,7.13e-06
54,480.498,1.50405,1.35093,1.60889,0.63184,0.49347,0.56853,0.26373,1.80756,1.50639,1.76133,6.8825e-06,6.8825e-06,6.8825e-06
55,489.468,1.49831,1.33099,1.60377,0.65251,0.48564,0.56867,0.26527,1.79809,1.50809,1.75468,6.635e-06,6.635e-06,6.635e-06
56,498.038,1.49466,1.32692,1.59364,0.67048,0.48876,0.57681,0.26949,1.79384,1.49372,1.75107,6.3875e-06,6.3875e-06,6.3875e-06
57,509.775,1.50876,1.31999,1.59296,0.65682,0.49971,0.58105,0.27267,1.79355,1.48543,1.7484,6.14e-06,6.14e-06,6.14e-06
58,518.147,1.49949,1.3293,1.58744,0.64322,0.50131,0.5772,0.27077,1.79463,1.49261,1.74835,5.8925e-06,5.8925e-06,5.8925e-06
59,526.602,1.50279,1.31663,1.59804,0.64737,0.49371,0.57638,0.26815,1.80057,1.4942,1.75376,5.645e-06,5.645e-06,5.645e-06
