directory,gopr_folder,patch_number,patch_relpath,source_image_relpath,confidence,grabcut_applied
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,3,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral3.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.5279,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,8,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.362,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,11,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.2541,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,12,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral12.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.2113,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,14,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral14.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.1868,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,6,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.5338,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,9,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.4307,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,12,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral12.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.3437,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,15,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral15.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.33,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,16,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.3273,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,17,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral17.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.322,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,27,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral27.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.2014,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,29,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral29.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.1899,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,30,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral30.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.1884,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,31,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral31.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.1792,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090,GOPR3090,6,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,0.5772,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090,GOPR3090,20,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral20.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,0.3042,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090,GOPR3090,31,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral31.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,0.1817,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090,GOPR3090,34,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral34.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,0.1611,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090,GOPR3090,36,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral36.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,0.1536,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090,GOPR3090,37,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral37.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,0.1521,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090,GOPR3090,38,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral38.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,0.1504,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091,GOPR3091,16,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,0.3585,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091,GOPR3091,18,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,0.337,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091,GOPR3091,19,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091\Coral19.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,0.2921,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091,GOPR3091,23,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091\Coral23.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,0.2502,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091,GOPR3091,25,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091\Coral25.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,0.1942,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091,GOPR3091,30,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091\Coral30.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,0.1522,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092,GOPR3092,2,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral2.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,0.7656,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092,GOPR3092,6,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,0.6278,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092,GOPR3092,14,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral14.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,0.4672,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092,GOPR3092,17,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral17.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,0.3891,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092,GOPR3092,18,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,0.3703,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092,GOPR3092,40,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral40.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,0.1545,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093,GOPR3093,3,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093\Coral3.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093.JPG,0.5188,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093,GOPR3093,7,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093\Coral7.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093.JPG,0.3956,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093,GOPR3093,9,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093.JPG,0.3171,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093,GOPR3093,10,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093.JPG,0.1813,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093,GOPR3093,12,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093\Coral12.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093.JPG,0.152,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094,GOPR3094,8,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094.JPG,0.4639,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094,GOPR3094,11,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094.JPG,0.4157,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095,GOPR3095,2,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095\Coral2.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095.JPG,0.6269,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095,GOPR3095,11,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095.JPG,0.209,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,2,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral2.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.6744,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,3,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral3.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.6581,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,6,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.5632,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,10,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.509,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,16,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.307,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,19,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral19.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.2894,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,20,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral20.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.2783,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,21,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral21.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.2569,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,24,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral24.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.2456,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,31,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral31.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.1596,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098,GOPR3098,32,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098\Coral32.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,0.1519,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099,GOPR3099,4,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099\Coral4.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099.JPG,0.3925,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099,GOPR3099,6,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099.JPG,0.3291,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099,GOPR3099,8,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099.JPG,0.2535,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099,GOPR3099,9,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099.JPG,0.251,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099,GOPR3099,16,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099.JPG,0.1516,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100,GOPR3100,10,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,0.3331,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100,GOPR3100,12,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral12.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,0.3259,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100,GOPR3100,18,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral18.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,0.251,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100,GOPR3100,30,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral30.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,0.1511,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,8,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.488,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,10,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.3876,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,13,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral13.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.3426,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,21,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral21.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.2689,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,23,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral23.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.2548,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,25,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral25.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.2469,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,26,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral26.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.2341,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,34,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral34.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.1616,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101,GOPR3101,35,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral35.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,0.1592,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102,GOPR3102,5,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral5.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,0.4947,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102,GOPR3102,17,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral17.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,0.2298,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102,GOPR3102,25,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral25.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,0.1701,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103,GOPR3103,13,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103\Coral13.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103.JPG,0.4134,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103,GOPR3103,20,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103\Coral20.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103.JPG,0.3131,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103,GOPR3103,30,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103\Coral30.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103.JPG,0.214,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103,GOPR3103,31,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103\Coral31.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103.JPG,0.2126,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,7,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral7.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.4804,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,9,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.4695,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,16,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.3227,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,17,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral17.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.2963,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,19,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral19.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.2712,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,20,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral20.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.2591,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,21,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral21.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.2577,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,22,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral22.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.2543,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,24,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral24.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.2319,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,27,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral27.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.2118,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104,GOPR3104,29,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral29.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,0.1558,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,5,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral5.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.4807,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,9,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.3385,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,12,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral12.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.2849,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,13,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral13.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.2383,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,17,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral17.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.2018,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,19,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral19.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.177,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,20,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral20.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.1724,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,21,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral21.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.1703,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105,GOPR3105,22,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105\Coral22.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,0.1643,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106,GOPR3106,8,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,0.3265,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106,GOPR3106,11,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,0.2209,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106,GOPR3106,16,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,0.184,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107,GOPR3107,10,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107.JPG,0.2274,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107,GOPR3107,11,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107.JPG,0.2181,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107,GOPR3107,14,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107\Coral14.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107.JPG,0.1822,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108,GOPR3108,10,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108\Coral10.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108.JPG,0.3492,True
