image_relpath,num_detections
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3173.JPG,19
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3174.JPG,12
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3175.JPG,6
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3176.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3177.JPG,22
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3178.JPG,26
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3179.JPG,19
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3180.JPG,14
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3181.JPG,20
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3182.JPG,26
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3183.JPG,9
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3184.JPG,15
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3185.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3186.JPG,26
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3187.JPG,19
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3188.JPG,34
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3189.JPG,19
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3190.JPG,23
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3191.JPG,30
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3192.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3193.JPG,21
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3198.JPG,4
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3199.JPG,12
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3200.JPG,21
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3201.JPG,26
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3202.JPG,19
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3203.JPG,34
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3204.JPG,38
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3205.JPG,37
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3206.JPG,35
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3207.JPG,46
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3208.JPG,9
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3209.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3210.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3211.JPG,21
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3212.JPG,7
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3213.JPG,9
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3214.JPG,18
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3215.JPG,9
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3216.JPG,25
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3217.JPG,10
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3218.JPG,23
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3219.JPG,31
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3220.JPG,15
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3221.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3222.JPG,10
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3223.JPG,9
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3224.JPG,15
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3225.JPG,15
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3226.JPG,17
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3227.JPG,16
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3228.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3229.JPG,14
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3230.JPG,10
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3231.JPG,24
Coral Garden\2024_JUL_CG_S\CG-S_T3\GOPR3232.JPG,13
