epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1037.53,1.61749,1.66292,1.76926,0.59508,0.48687,0.53401,0.25652,1.694,1.60045,1.8899,0.00079705,0.00079705,0.00079705
43,1062.13,1.59684,1.64819,1.75803,0.5893,0.48971,0.52981,0.25331,1.69584,1.63787,1.92337,0.0007921,0.0007921,0.0007921
44,1086.76,1.57889,1.62422,1.75505,0.58355,0.52004,0.54848,0.26488,1.69834,1.62898,1.89244,0.00078715,0.00078715,0.00078715
45,1111.41,1.58461,1.61677,1.74798,0.57613,0.4821,0.53231,0.26552,1.70151,1.61602,1.92846,0.0007822,0.0007822,0.0007822
46,1136.07,1.57674,1.60692,1.74412,0.56901,0.54773,0.55049,0.2703,1.67024,1.57746,1.91166,0.00077725,0.00077725,0.00077725
47,1160.71,1.57691,1.6313,1.76337,0.58536,0.48926,0.54395,0.27345,1.63332,1.55666,1.88935,0.0007723,0.0007723,0.0007723
48,1185.41,1.56569,1.60281,1.74637,0.55808,0.51909,0.55638,0.27705,1.63042,1.57995,1.87611,0.00076735,0.00076735,0.00076735
49,1210.06,1.54035,1.57249,1.73234,0.57957,0.50666,0.51513,0.24537,1.70333,1.6047,1.94208,0.0007624,0.0007624,0.0007624
50,1234.72,1.59381,1.6235,1.75157,0.58607,0.53391,0.57511,0.28523,1.66868,1.59119,1.88355,0.00075745,0.00075745,0.00075745
51,1259.35,1.55519,1.55517,1.72093,0.5876,0.53103,0.56883,0.26893,1.69124,1.52796,1.89487,0.0007525,0.0007525,0.0007525
52,1283.93,1.54821,1.5711,1.71965,0.58748,0.48449,0.54582,0.26867,1.68791,1.55795,1.91535,0.00074755,0.00074755,0.00074755
53,1308.55,1.55862,1.58047,1.73693,0.58949,0.52983,0.5665,0.28009,1.62781,1.5091,1.86378,0.0007426,0.0007426,0.0007426
54,1333.16,1.55918,1.55823,1.72676,0.5598,0.53461,0.55054,0.27797,1.64234,1.53929,1.87761,0.00073765,0.00073765,0.00073765
55,1357.74,1.54141,1.54456,1.7149,0.55631,0.53864,0.56221,0.28359,1.63022,1.52474,1.86023,0.0007327,0.0007327,0.0007327
56,1382.29,1.54577,1.54792,1.73007,0.59938,0.52267,0.56993,0.27674,1.69355,1.5373,1.92835,0.00072775,0.00072775,0.00072775
57,1406.85,1.53105,1.5302,1.71125,0.61445,0.52387,0.57947,0.28866,1.66485,1.48584,1.8912,0.0007228,0.0007228,0.0007228
58,1431.48,1.53161,1.51833,1.71107,0.66562,0.50119,0.58986,0.29413,1.65814,1.4952,1.85888,0.00071785,0.00071785,0.00071785
59,1456.1,1.55052,1.5249,1.71153,0.56927,0.55515,0.59535,0.29883,1.61939,1.41257,1.84272,0.0007129,0.0007129,0.0007129
60,1480.74,1.52504,1.50285,1.69306,0.55851,0.54296,0.55952,0.27031,1.64651,1.58957,1.87059,0.00070795,0.00070795,0.00070795
61,1505.32,1.52479,1.50863,1.70156,0.59743,0.5179,0.56156,0.28024,1.61625,1.46899,1.84795,0.000703,0.000703,0.000703
62,1529.91,1.52413,1.48158,1.69314,0.63432,0.52783,0.57194,0.27873,1.68955,1.46492,1.90032,0.00069805,0.00069805,0.00069805
63,1554.52,1.52069,1.47646,1.69676,0.57315,0.55609,0.56704,0.27317,1.66287,1.53803,1.8735,0.0006931,0.0006931,0.0006931
64,1579.06,1.51213,1.46808,1.68994,0.62814,0.58234,0.61097,0.30627,1.63494,1.42141,1.86733,0.00068815,0.00068815,0.00068815
65,1603.7,1.51669,1.47988,1.69743,0.62074,0.56444,0.59716,0.29935,1.64939,1.41356,1.85577,0.0006832,0.0006832,0.0006832
66,1628.26,1.48783,1.45475,1.67958,0.60516,0.54319,0.58573,0.29192,1.63483,1.44226,1.85662,0.00067825,0.00067825,0.00067825
67,1652.82,1.47785,1.41808,1.65166,0.65676,0.55256,0.60733,0.30124,1.66328,1.4403,1.85938,0.0006733,0.0006733,0.0006733
68,1677.35,1.51756,1.47073,1.68746,0.63895,0.55609,0.60623,0.3032,1.6334,1.38964,1.83214,0.00066835,0.00066835,0.00066835
69,1701.9,1.48338,1.42625,1.66912,0.62487,0.56683,0.5984,0.29697,1.65358,1.42344,1.84464,0.0006634,0.0006634,0.0006634
70,1726.46,1.48689,1.4056,1.65645,0.65584,0.53103,0.60521,0.30016,1.67052,1.39752,1.87641,0.00065845,0.00065845,0.00065845
71,1751.01,1.48951,1.41598,1.66001,0.64194,0.56563,0.59945,0.30243,1.64334,1.38591,1.84288,0.0006535,0.0006535,0.0006535
72,1775.56,1.48086,1.41776,1.65472,0.63282,0.5553,0.60276,0.29257,1.61829,1.44535,1.84428,0.00064855,0.00064855,0.00064855
73,1800.12,1.47083,1.40344,1.65816,0.65764,0.56205,0.61298,0.30874,1.66126,1.38791,1.85742,0.0006436,0.0006436,0.0006436
74,1824.79,1.48184,1.37745,1.6634,0.63307,0.56444,0.61372,0.30656,1.63935,1.37933,1.85307,0.00063865,0.00063865,0.00063865
75,1849.39,1.47574,1.40271,1.65412,0.63107,0.58473,0.60424,0.30394,1.65019,1.37843,1.85152,0.0006337,0.0006337,0.0006337
